OutputID	OutputName	OutputType	OutputTier	BuildingResourceTier	ConstructionTime	PlanetTypes	Factions	ResourceType	ProductionSteps	Ingredient1	Quantity1	Ingredient2	Quantity2	Ingredient3	Quantity3	Ingredient4	Quantity4	Ingredient5	Quantity5	Ingredient6	Quantity6	Ingredient7	Quantity7	Ingredient8	Quantity8
oceanic-central-hub-t1	Central Hub	BUILDING	1			Oceanic Planet	MUD;ONI;USTUR	Infrastructure		Auto-Built															
oceanic-central-hub-t2	Central Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	28	Chromite Ingot	27	Climate Controller	22	Cobalt	19								
oceanic-central-hub-t3	Central Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	34	Chromite Ingot	33	Climate Controller	27	Cobalt	23	Aerogel	19						
oceanic-central-hub-t4	Central Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	41	Chromite Ingot	40	Climate Controller	33	Cobalt	28	Aerogel	23	Beryllium Matrix	17				
oceanic-central-hub-t5	Central Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	50	Chromite Ingot	48	Climate Controller	40	Cobalt	34	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-cultivation-hub-t1	Cultivation Hub	BUILDING	1			Oceanic Planet	MUD;ONI;USTUR	Infrastructure		Auto-Built															
oceanic-cultivation-hub-t2	Cultivation Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	28	Chromite Ingot	27	Climate Controller	22	Cobalt	19								
oceanic-cultivation-hub-t3	Cultivation Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	34	Chromite Ingot	33	Climate Controller	27	Cobalt	23	Aerogel	19						
oceanic-cultivation-hub-t4	Cultivation Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	41	Chromite Ingot	40	Climate Controller	33	Cobalt	28	Aerogel	23	Beryllium Matrix	17				
oceanic-cultivation-hub-t5	Cultivation Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	50	Chromite Ingot	48	Climate Controller	40	Cobalt	34	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-processing-hub-t1	Processing Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-processing-hub-t2	Processing Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	24	Chromite Ingot	21	Climate Controller	18	Cobalt	15								
oceanic-processing-hub-t3	Processing Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	29	Chromite Ingot	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-processing-hub-t4	Processing Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	35	Chromite Ingot	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-processing-hub-t5	Processing Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	42	Chromite Ingot	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-extraction-hub-t1	Extraction Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-extraction-hub-t2	Extraction Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	24	Chromite Ingot	21	Climate Controller	18	Cobalt	15								
oceanic-extraction-hub-t3	Extraction Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	29	Chromite Ingot	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-extraction-hub-t4	Extraction Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	35	Chromite Ingot	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-extraction-hub-t5	Extraction Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	42	Chromite Ingot	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-storage-hub-t1	Storage Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-storage-hub-t2	Storage Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	24	Chromite Ingot	21	Climate Controller	18	Cobalt	15								
oceanic-storage-hub-t3	Storage Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	29	Chromite Ingot	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-storage-hub-t4	Storage Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	35	Chromite Ingot	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-storage-hub-t5	Storage Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	42	Chromite Ingot	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-farm-hub-t1	Farm Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-farm-hub-t2	Farm Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	24	Chromite Ingot	21	Climate Controller	18	Cobalt	15								
oceanic-farm-hub-t3	Farm Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	29	Chromite Ingot	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-farm-hub-t4	Farm Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	35	Chromite Ingot	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-farm-hub-t5	Farm Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	42	Chromite Ingot	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-power-plant-t1	Power Plant	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-power-plant-t2	Power Plant	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	24	Chromite Ingot	21	Climate Controller	18	Cobalt	15								
oceanic-power-plant-t3	Power Plant	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	29	Chromite Ingot	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-power-plant-t4	Power Plant	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	35	Chromite Ingot	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-power-plant-t5	Power Plant	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	42	Chromite Ingot	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-crew-quarters-t1	Crew Quarters	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-crew-quarters-t2	Crew Quarters	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	24	Chromite Ingot	21	Climate Controller	18	Cobalt	15								
oceanic-crew-quarters-t3	Crew Quarters	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	29	Chromite Ingot	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-crew-quarters-t4	Crew Quarters	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	35	Chromite Ingot	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-crew-quarters-t5	Crew Quarters	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Boron Composite	42	Chromite Ingot	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-chromite-processor-t1	Chromite Processor	BUILDING	1	1	60	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-chromite-processor-t2	Chromite Processor	BUILDING	2	1	45	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	30	Hydrogen	24	Nitrogen	18	Chromite Ingot	21								
oceanic-chromite-processor-t3	Chromite Processor	BUILDING	3	1	30	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	36	Hydrogen	29	Nitrogen	22	Chromite Ingot	26	Cryogenic Catalyst	23						
oceanic-chromite-processor-t4	Chromite Processor	BUILDING	4	1	25	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	44	Hydrogen	35	Nitrogen	27	Chromite Ingot	32	Cryogenic Catalyst	28	Aerogel	21				
oceanic-chromite-processor-t5	Chromite Processor	BUILDING	5	1	20	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	53	Hydrogen	42	Nitrogen	33	Chromite Ingot	39	Cryogenic Catalyst	34	Aerogel	26	Boron Composite	25		
oceanic-cobalt-processor-t1	Cobalt Processor	BUILDING	1	2	60	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-cobalt-processor-t2	Cobalt Processor	BUILDING	2	2	45	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	30	Hydrogen	24	Nitrogen	18	Boron Composite	19								
oceanic-cobalt-processor-t3	Cobalt Processor	BUILDING	3	2	30	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	36	Hydrogen	29	Nitrogen	22	Boron Composite	23	Chromite Ingot	23						
oceanic-cobalt-processor-t4	Cobalt Processor	BUILDING	4	2	25	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	44	Hydrogen	35	Nitrogen	27	Boron Composite	28	Chromite Ingot	28	Aerogel	21				
oceanic-cobalt-processor-t5	Cobalt Processor	BUILDING	5	2	20	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	53	Hydrogen	42	Nitrogen	33	Boron Composite	34	Chromite Ingot	34	Aerogel	26	Climate Controller	25		
oceanic-manganese-processor-t1	Manganese Processor	BUILDING	1	2	60	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	25	Hydrogen	20	Nitrogen	15										
oceanic-manganese-processor-t2	Manganese Processor	BUILDING	2	2	45	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	30	Hydrogen	24	Nitrogen	18	Boron Composite	19								
oceanic-manganese-processor-t3	Manganese Processor	BUILDING	3	2	30	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	36	Hydrogen	29	Nitrogen	22	Boron Composite	23	Chromite Ingot	23						
oceanic-manganese-processor-t4	Manganese Processor	BUILDING	4	2	25	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	44	Hydrogen	35	Nitrogen	27	Boron Composite	28	Chromite Ingot	28	Aerogel	21				
oceanic-manganese-processor-t5	Manganese Processor	BUILDING	5	2	20	Oceanic Planet	MUD;ONI;USTUR	Processing	1	Biomass	53	Hydrogen	42	Nitrogen	33	Boron Composite	34	Chromite Ingot	34	Aerogel	26	Climate Controller	25		
oceanic-abyssal-chromite-extractor-t1	Abyssal Chromite Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	25	Cryogenic Catalyst	22	Dimensional Stabilizer	19										
oceanic-abyssal-chromite-extractor-t2	Abyssal Chromite Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	30	Cryogenic Catalyst	27	Dimensional Stabilizer	23	Dispersal Gas Mix	21								
oceanic-abyssal-chromite-extractor-t3	Abyssal Chromite Extractor	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	36	Cryogenic Catalyst	33	Dimensional Stabilizer	28	Dispersal Gas Mix	26	Dispersal Mechanism	23						
oceanic-abyssal-chromite-extractor-t4	Abyssal Chromite Extractor	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	44	Cryogenic Catalyst	40	Dimensional Stabilizer	34	Dispersal Gas Mix	32	Dispersal Mechanism	28	Aerogel	21				
oceanic-abyssal-chromite-extractor-t5	Abyssal Chromite Extractor	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	53	Cryogenic Catalyst	48	Dimensional Stabilizer	41	Dispersal Gas Mix	39	Dispersal Mechanism	34	Aerogel	26	Boron Composite	25		
oceanic-biomass-extractor-t1	Biomass Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	25	Cryogenic Catalyst	22	Dimensional Stabilizer	19										
oceanic-biomass-extractor-t2	Biomass Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	30	Cryogenic Catalyst	27	Dimensional Stabilizer	23	Dispersal Gas Mix	21								
oceanic-biomass-extractor-t3	Biomass Extractor	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	36	Cryogenic Catalyst	33	Dimensional Stabilizer	28	Dispersal Gas Mix	26	Dispersal Mechanism	23						
oceanic-biomass-extractor-t4	Biomass Extractor	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	44	Cryogenic Catalyst	40	Dimensional Stabilizer	34	Dispersal Gas Mix	32	Dispersal Mechanism	28	Aerogel	21				
oceanic-biomass-extractor-t5	Biomass Extractor	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	53	Cryogenic Catalyst	48	Dimensional Stabilizer	41	Dispersal Gas Mix	39	Dispersal Mechanism	34	Aerogel	26	Boron Composite	25		
oceanic-hydrogen-extractor-t1	Hydrogen Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	25	Cryogenic Catalyst	22	Dimensional Stabilizer	19										
oceanic-hydrogen-extractor-t2	Hydrogen Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	30	Cryogenic Catalyst	27	Dimensional Stabilizer	23	Dispersal Gas Mix	21								
oceanic-hydrogen-extractor-t3	Hydrogen Extractor	BUILDING	3	1	60	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	36	Cryogenic Catalyst	33	Dimensional Stabilizer	28	Dispersal Gas Mix	26	Dispersal Mechanism	23						
oceanic-hydrogen-extractor-t4	Hydrogen Extractor	BUILDING	4	1	50	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	44	Cryogenic Catalyst	40	Dimensional Stabilizer	34	Dispersal Gas Mix	32	Dispersal Mechanism	28	Aerogel	21				
oceanic-hydrogen-extractor-t5	Hydrogen Extractor	BUILDING	5	1	40	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	53	Cryogenic Catalyst	48	Dimensional Stabilizer	41	Dispersal Gas Mix	39	Dispersal Mechanism	34	Aerogel	26	Boron Composite	25		
oceanic-nitrogen-extractor-t1	Nitrogen Extractor	BUILDING	1	1	90	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	25	Cryogenic Catalyst	22	Dimensional Stabilizer	19										
oceanic-nitrogen-extractor-t2	Nitrogen Extractor	BUILDING	2	1	75	Oceanic Planet	MUD;ONI;USTUR	Extraction		Chromite Ingot	30	Cryogenic Catalyst	27	Dimensional Stabilizer	23	Dispersal Gas Mix	21								
